S&P 500 (Y),Time ,Mobility Change (% change against normal levels) ,WTI Crude ($/barrel),National Emergency Declaration,Gold,10 Year Sovereign Bond Yield,Brent Crude ($/barrel),logS&P,logGold,logBondYield,logBrent,logTime
3320.79,1,0,58.25,0,1556.25,1.774,63.66,3.521241413,3.192079364,0.248953615,1.803866634,0
3321.75,2,0,56.76,0,1558.1,1.769,62.11,3.521366944,3.192595328,0.247727833,1.793161529,0.301029996
3325.54,3,0,55.51,0,1554.05,1.731,61.26,3.521862176,3.191464988,0.238297068,1.787176992,0.477121255
3295.47,4,0,54.09,0,1561.85,1.686,59.34,3.517917362,3.193639322,0.22685757,1.773347542,0.602059991
3243.63,5,-1.2424592,53.09,0,1583.45,1.613,58.54,3.511031309,3.199604354,0.207634367,1.767452718,0.698970004
3276.24,6,-0.4575828,53.33,0,1579.6,1.661,59.37,3.515375708,3.198547125,0.220369632,1.773567049,0.77815125
3273.4,7,0.28326745,53.29,0,1571.2,1.581,59.46,3.514999078,3.19623147,0.19893187,1.774224905,0.84509804
3283.66,8,0.86365196,52.19,0,1580.4,1.591,57.72,3.516358183,3.198767021,0.20167018,1.761326322,0.903089987
3225.52,9,1.40503897,51.58,0,1580.85,1.505,57.77,3.508599739,3.198890664,0.1775365,1.761702368,0.954242509
3248.92,10,2.32044681,50.06,0,1578.85,1.526,54,3.511739018,3.198340871,0.183554534,1.73239376,1
3297.59,11,2.56500584,49.59,0,1571.2,1.603,53.9,3.518196657,3.19623147,0.204933522,1.731588765,1.041392685
3334.69,12,2.84755507,50.87,0,1552.2,1.649,55.36,3.523055467,3.190947679,0.217220656,1.743196081,1.079181246
3345.78,13,3.14913973,50.94,0,1564.75,1.644,55.18,3.524497381,3.19444496,0.215901813,1.741781696,1.113943352
3327.71,14,4.03501635,50.34,0,1569.4,1.582,54.53,3.522145472,3.195733648,0.199206479,1.736635498,1.146128036
3352.09,15,4.2764335,49.59,0,1574.05,1.563,53.39,3.52531567,3.197018524,0.193958978,1.727459921,1.176091259
3357.75,16,4.45749312,50,0,1567.7,1.602,54,3.526048358,3.195262958,0.204662512,1.73239376,1.204119983
3379.45,17,4.5206973,51.13,0,1566.75,1.637,55.54,3.528846025,3.194999703,0.214048679,1.744605875,1.230448921
3373.94,18,4.52777293,51.41,0,1575,1.619,56.34,3.528137355,3.197280558,0.209246849,1.750816843,1.255272505
3380.16,19,3.42361523,52.03,0,1576.35,1.588,57.37,3.528937258,3.197652651,0.200850498,1.75868485,1.278753601
3370.29,20,3.40944323,52.1,0,1588.2,1.559,57.35,3.527667272,3.200905192,0.192846115,1.758533422,1.301029996
3386.15,21,3.74674747,53.31,0,1609.5,1.568,59.72,3.529706193,3.206690981,0.195346058,1.776119799,1.322219295
3373.23,22,3.75890165,53.77,0,1610.35,1.519,59.57,3.528045954,3.206920278,0.181557774,1.7750276,1.342422681
3337.75,23,3.95147917,53.36,0,1633.7,1.473,58.6,3.523453805,3.213172309,0.168202747,1.767897616,1.361727836
3225.89,24,0.38859248,51.36,0,1682.35,1.371,56.71,3.508649554,3.225916352,0.137037455,1.753659647,1.380211242
3128.21,25,-2.5768382,49.78,0,1655.9,1.355,55.29,3.4952959,3.219034106,0.131939295,1.74264659,1.397940009
3116.39,26,-6.5625508,48.67,0,1647.95,1.335,54.96,3.493651802,3.216944031,0.125481266,1.740046724,1.414973348
2978.76,27,-11.60558,47.17,0,1646.6,1.274,52.19,3.474035513,3.216588111,0.105169428,1.717587297,1.431363764
2954.22,28,-17.66652,44.83,0,1626.35,1.163,51.31,3.470442834,3.211214014,0.065579715,1.710202015,1.447158031
3090.23,29,-40.348974,46.78,0,1609.7,1.152,52.52,3.489990804,3.206744944,0.061452479,1.720324717,1.462397998
3003.37,30,-48.541519,47.27,0,1599.05,0.999,52.24,3.477608838,3.203862044,-0.000434512,1.718003168,1.477121255
3130.12,31,-56.551469,46.78,0,1644.8,1.055,51.86,3.495560987,3.216113097,0.02325246,1.714832512,1.491361694
3023.94,32,-64.12191,45.9,0,1647.45,0.917,51.29,3.48057317,3.216812243,-0.037630664,1.710032699,1.505149978
2972.37,33,-71.059737,41.14,0,1687,0.773,45.6,3.473102869,3.227115083,-0.111820506,1.658964843,1.51851394
2746.56,34,-87.126665,31.05,0,1676.6,0.559,35.33,3.438789091,3.224429462,-0.252588192,1.548143637,1.531478917
2882.23,35,-90.852617,34.47,0,1657.4,0.8,35.57,3.459728634,3.219427335,-0.096910013,1.551083865,1.544068044
2741.38,36,-93.847747,33.13,1,1662.5,0.877,34.45,3.43796924,3.220761654,-0.057000407,1.537189226,1.556302501
2480.64,37,-96.208679,31.56,1,1636.65,0.812,31.02,3.394563742,3.213955815,-0.090443971,1.491641793,1.568201724
2711.02,38,-98.045057,31.72,1,1588.15,0.983,32.25,3.433132722,3.200891519,-0.007446482,1.508529719,1.579783597
2386.13,39,-101.44274,28.96,1,1504.65,0.74,27.98,3.377694101,3.177435489,-0.13076828,1.44684771,1.591064607
2529.19,40,-102.14277,26.96,1,1472.35,1.069,27.97,3.402981456,3.168011061,0.028977705,1.446692466,1.602059991
2398.1,41,-102.71788,20.48,1,1506,1.183,22.79,3.379867289,3.177824972,0.072984745,1.357744325,1.612783857
2409.39,42,-103.1994,25.09,1,1480.7,1.158,23.98,3.381907104,3.170467076,0.063708559,1.379849179,1.62324929
2304.92,43,-103.60506,19.48,1,1504.45,0.885,25.55,3.362655856,3.177377759,-0.053056729,1.407390904,1.633468456
2237.4,44,-104.41696,23.33,1,1494.5,0.763,23.75,3.349743634,3.174495919,-0.117475462,1.375663614,1.643452676
2447.33,45,-104.53409,21.03,1,1599.5,0.858,24.5,3.388692534,3.203984244,-0.066512712,1.389166084,1.653212514
2475.56,46,-104.54981,20.75,0,1620.95,0.869,25.62,3.393673457,3.209769619,-0.060980224,1.408579125,1.662757832
2630.07,47,-104.44331,16.6,0,1620.1,0.848,23.55,3.419967308,3.209541822,-0.071604148,1.371990911,1.672097858
2541.47,48,-102.45026,15.48,0,1621.2,0.676,22.39,3.405084988,3.209836595,-0.170053304,1.350054094,1.681241237
2626.65,49,-101.55272,14.1,0,1624.45,0.726,19.19,3.419402207,3.210706348,-0.139063379,1.283074975,1.69019608
2584.59,50,-100.54288,20.51,0,1604.65,0.668,14.85,3.41239166,3.20538032,-0.175223538,1.171726454,1.698970004
2470.5,51,-99.461875,20.28,0,1594.25,0.602,14.97,3.392784858,3.202556426,-0.220403509,1.1752218,1.707570176
2526.9,52,-98.349712,25.18,0,1588.05,0.611,20.24,3.402588055,3.200864172,-0.21395879,1.306210508,1.716003344
2488.65,53,-95.135861,28.36,0,1609.75,0.599,24.33,3.395963822,3.206758434,-0.222573178,1.386142109,1.72427587
2663.68,54,-94.134882,26.21,0,1636.6,0.678,22.58,3.42548205,3.213942547,-0.168770306,1.353723938,1.73239376
2659.41,55,-93.137205,23.54,0,1652.2,0.726,22.1,3.424785297,3.218062618,-0.139063379,1.344392274,1.740362689
2749.98,56,-92.108573,24.97,0,1649.05,0.771,25.22,3.439329535,3.217233824,-0.112945622,1.401745082,1.748188027
2789.82,57,-91.020074,22.9,0,1662.5,0.729,20.23,3.445576183,3.220761654,-0.137272472,1.305995883,1.755874856
2761.63,58,-87.311054,22.36,0,1689.175,0.77,20.985,3.441165492,3.227674645,-0.113509275,1.321908974,1.763427994
2846.06,59,-85.954013,20.15,0,1715.85,0.75,21.74,3.454244052,3.234479319,-0.124938737,1.33725954,1.770852012
2783.36,60,-84.58171,19.96,0,1712.25,0.635,19.8,3.444569382,3.233567175,-0.197226275,1.29666519,1.77815125
2799.55,61,-83.240428,19.82,0,1717.85,0.617,18.69,3.447088228,3.234985239,-0.209714836,1.271609301,1.785329835
2874.56,62,-81.98287,18.31,0,1693.15,0.642,19.75,3.458571378,3.228695435,-0.192464972,1.2955671,1.792391689
2823.16,63,-79.14024,-36.98,0,1684.95,0.616,17.36,3.450735492,3.226587018,-0.210419288,1.239549721,1.799340549
2736.56,64,-78.528499,8.91,0,1678.6,0.566,9.12,3.437204975,3.224947219,-0.247183569,0.959994838,1.806179974
2799.31,65,-78.035665,13.64,0,1702.65,0.618,13.77,3.447050996,3.231125383,-0.209011525,1.13893394,1.812913357
2797.8,66,-77.617025,15.06,0,1727.55,0.603,15.06,3.446816666,3.237430626,-0.219682688,1.177824972,1.819543936
2836.74,67,-77.231255,15.99,0,1727.25,0.605,15.87,3.452819533,3.237355201,-0.218244625,1.200576927,1.826074803
2878.48,68,-75.929599,12.17,0,1717.25,0.664,15.17,3.459163216,3.234833525,-0.177831921,1.180985581,1.832508913
2863.39,69,-75.327261,12.4,0,1708.1,0.616,15.6,3.456880504,3.232513293,-0.210419288,1.193124598,1.838849091
2939.51,70,-74.593211,15.04,0,1706,0.628,17.86,3.468274942,3.231979027,-0.202040356,1.251881455,1.84509804
2912.43,71,-73.725509,19.23,0,1716.75,0.646,18.11,3.464255496,3.234707056,-0.189767482,1.25791845,1.851258349
2830.71,72,-72.742081,19.72,0,1673.05,0.618,18.49,3.451895379,3.22350892,-0.209011525,1.266936911,1.857332496
2842.74,73,-69.550288,20.47,0,1703.7,0.631,20.4,3.45373714,3.231393123,-0.199970641,1.309630167,1.86332286
2868.44,74,-68.582482,24.56,0,1696.3,0.662,25.46,3.45764577,3.229502662,-0.179142011,1.405858399,1.86923172
2848.42,75,-67.730947,23.88,0,1698.9,0.709,24.2,3.454604026,3.230167816,-0.149353765,1.383815366,1.875061263
2881.19,76,-67.006907,23.68,0,1688.65,0.639,24.23,3.459571899,3.227539644,-0.194499142,1.384353414,1.880813592
